Time	Close	Long	Short
2018-01-05 01:35:00	0.17981578312174104	1	1
2018-01-05 01:36:00	0.18002609504250253	1	1
2018-01-05 01:37:00	0.17974002234336875	1	1
2018-01-05 01:38:00	0.18019428397048903	1	1
2018-01-05 01:39:00	0.18019443549204578	1	1
2018-01-05 01:40:00	0.18049747860553497	1	1
2018-01-05 01:41:00	0.18051854010192248	1	1
2018-01-05 01:42:00	0.1803459570487904	1	1
2018-01-05 01:43:00	0.18034626009190388	1	1
2018-01-05 01:44:00	0.18051869162347922	1	1
2018-01-05 01:45:00	0.18051854010192248	1	1
2018-01-05 01:46:00	0.180566875478524	1	1
2018-01-05 01:47:00	0.18080052171902417	1	1
2018-01-05 01:48:00	0.18052323727018157	1	1
2018-01-05 01:49:00	0.18005806609097566	1	1
2018-01-05 01:50:00	0.18031565273744146	1	1
2018-01-05 01:51:00	0.18019428397048903	1	1
2018-01-05 01:52:00	0.17992457559948366	1	1
2018-01-05 01:53:00	0.18016413118069688	1	1
2018-01-05 01:54:00	0.17992487864259712	1	1
2018-01-05 01:55:00	0.17996715315692888	1	1
2018-01-05 01:56:00	0.1796641100434397	1	1
2018-01-05 01:57:00	0.1797779027325549	1	1
2018-01-05 01:58:00	0.1800130641886225	1	1
2018-01-05 01:59:00	0.1800429139353012	1	1
2018-01-05 02:00:00	0.1800609450005538	1	1
2018-01-05 02:01:00	0.18013382686934795	1	1
2018-01-05 02:02:00	0.18020958764772024	1	1
2018-01-05 02:03:00	0.18019489005671602	1	1
2018-01-05 02:04:00	0.180896737907557	1	1
2018-01-05 02:05:00	0.1809368911200943	1	1
2018-01-05 02:06:00	0.1810993222289245	1	1
2018-01-05 02:07:00	0.18170965105949174	1	1
2018-01-05 02:08:00	0.1812620563808682	1	1
2018-01-05 02:09:00	0.18140054708373277	1	1
2018-01-05 02:10:00	0.18161858660388824	1	1
2018-01-05 02:11:00	0.181618738125445	1	1
2018-01-05 02:12:00	0.18143706377890823	1	1
2018-01-05 02:13:00	0.18143721530046497	1	1
2018-01-05 02:14:00	0.18167904370502932	1	1
2018-01-05 02:15:00	0.18143721530046497	1	1
2018-01-05 02:16:00	0.18169449890381728	1	1
2018-01-05 02:17:00	0.18169434738226053	1	1
2018-01-05 02:18:00	0.18171010562416198	1	1
2018-01-05 02:19:00	0.1821489120524943	1	1
2018-01-05 02:20:00	0.1818158676707697	1	1
2018-01-05 02:21:00	0.18245210668754025	1	10
2018-01-05 02:22:00	0.18231573728647013	1	1
2018-01-05 02:23:00	0.18231558576491338	1	1
2018-01-05 02:24:00	0.18245210668754025	1	10
2018-01-05 02:25:00	0.1818166252785534	1	1
2018-01-05 02:26:00	0.18182344374860693	1	1
2018-01-05 02:27:00	0.18155873558897415	1	1
2018-01-05 02:28:00	0.18140660794600255	1	1
2018-01-05 02:29:00	0.18225482562065878	1	1
2018-01-05 02:30:00	0.1819517825071696	1	1
2018-01-05 02:31:00	0.18193693339460865	1	1
2018-01-05 02:32:00	0.1820125426514242	1	1
2018-01-05 02:33:00	0.1819517825071696	1	1
2018-01-05 02:34:00	0.18195193402872634	1	1
2018-01-05 02:35:00	0.18170995410260524	1	1
2018-01-05 02:36:00	0.18163419332423295	1	1
2018-01-05 02:37:00	0.18163419332423295	1	1
2018-01-05 02:38:00	0.18170995410260524	1	1
2018-01-05 02:39:00	0.18199739049574973	1	1
2018-01-05 02:40:00	0.18172495473672295	1	1
2018-01-05 02:41:00	0.18163419332423295	1	1
2018-01-05 02:42:00	0.18143736682202172	1	1
2018-01-05 02:43:00	0.18143736682202172	1	1
2018-01-05 02:44:00	0.18143736682202172	1	1
2018-01-05 02:45:00	0.18141569923940723	1	1
2018-01-05 02:46:00	0.18154343191174294	1	1
2018-01-05 02:47:00	0.18218830765724792	1	1
2018-01-05 02:48:00	0.18174025841395416	1	1
2018-01-05 02:49:00	0.1815735847015351	1	1
2018-01-05 02:50:00	0.18214876053093756	1	1
2018-01-05 02:51:00	0.18183071678333068	1	1
